20 100
45 17 9 -25 -50 10 -5 -20 -22 26 -39 -41 19 37 18 37 -35 -17 -39 49 -34 -40 -49 35 39 16 3 25 45 -11 8 6 -45 33 31 23 -41 -25 -48 -13 17 -37 -4 -15 16 30 39 32 -38 16 30 46 26 -3 30 -20 -38 49 -46 24 -47 -22 -21 -41 28 -41 32 37 -50 0 -27 -16 14 -14 -15 -21 32 40 27 11 5 -28 6 -20 20 -49 -23 32 -50 -19 5 -47 -24 0 29 -47 -25 -24 40 43 
27 29 -24 -44 31 -23 -49 13 -33 29 40 22 -50 -5 19 20 -38 46 -32 -38 43 -11 33 -32 40 -23 38 -36 4 27 23 -20 -28 49 -14 -48 43 -13 -19 -41 -35 -30 -3 33 -19 32 2 -6 -7 -14 -28 -14 26 21 -30 -19 49 -42 -39 2 1 35 32 23 -1 34 -8 -9 37 23 -34 -48 10 -20 1 41 -39 -48 -16 5 -11 -27 7 31 44 27 -39 42 1 -28 -7 -48 -44 41 -9 6 -10 33 13 -23 
-28 -4 46 32 26 -4 -12 3 -36 -11 -43 3 12 -20 50 5 -43 -40 -37 8 50 6 -24 -45 -37 18 -23 -31 -34 7 -4 -46 -48 -9 2 -6 3 41 47 18 -21 -46 37 7 -16 37 28 -43 13 41 -18 12 -37 -26 -16 -24 42 -23 -5 25 34 8 29 2 15 -19 46 -32 38 43 2 -34 13 -12 -11 47 41 -34 21 4 -43 -48 32 -30 43 -35 -38 35 -7 -27 -25 43 -3 -47 -5 -38 -50 -44 47 38 
49 -2 20 11 2 -42 -26 -41 42 45 -21 49 13 -40 35 5 -24 13 -45 -15 2 47 44 16 17 -46 28 17 -39 -10 -29 -41 4 41 -13 22 16 -23 31 7 -29 -41 -29 0 37 22 21 29 -16 -7 -37 2 -11 23 -33 -45 28 11 -11 39 -50 10 14 -30 0 -50 43 -35 44 23 22 -36 -1 43 -20 -15 14 18 -37 14 -40 43 33 -35 15 16 -29 -8 -23 10 47 44 36 11 -36 -15 -23 23 -33 -29 
-39 39 -49 10 -2 49 11 28 -18 -10 -42 -8 -18 7 -27 14 -28 -6 22 -35 20 19 -41 5 46 40 7 39 -22 24 26 -11 -22 -6 16 26 -42 -24 -30 -10 17 45 32 15 1 -46 45 23 -35 17 39 1 -49 14 23 47 -31 -21 1 -3 19 44 36 47 -13 1 -11 -5 -6 9 35 27 3 -18 -9 -47 -48 -14 -8 34 19 47 -49 20 10 24 -18 -5 19 33 42 -13 26 -6 -17 29 11 22 40 21 
47 24 -3 -35 22 5 35 -9 7 -23 -26 -25 40 -25 11 0 15 43 11 -17 -9 -31 -14 34 13 20 12 40 -43 2 -23 21 42 24 36 -20 45 -13 21 -33 14 11 -42 3 3 19 19 -33 -23 47 -33 19 -35 3 -32 -6 39 30 50 13 48 -24 -17 6 17 35 36 11 -29 -28 29 35 33 37 -46 -49 -28 -11 -31 -1 -15 -48 34 -34 -29 -49 10 -40 -2 10 23 -5 36 22 -50 2 6 36 30 28 
24 8 -22 7 -40 49 8 -18 -12 -7 -2 -11 -5 -19 -28 -17 -17 32 -7 31 -43 32 42 10 3 43 28 -42 -6 7 36 -32 31 31 -9 8 29 15 40 33 -42 -47 39 -31 -15 -40 2 -16 42 11 31 16 -8 22 -25 45 -20 -48 20 -9 -24 -29 -25 23 -49 16 -20 -3 47 37 -21 -46 40 -33 41 -26 -23 -8 -26 36 20 -46 1 -39 27 -8 23 23 -40 -42 -37 -14 -21 -12 -41 48 20 -11 -6 17 
42 -11 -13 32 7 -23 22 0 -14 47 -15 -45 -50 2 33 -7 10 -29 -34 21 -21 -21 23 9 -16 -2 -28 -47 4 16 -14 -5 -46 24 -24 -23 17 49 28 19 45 29 -10 11 48 -27 -46 7 -6 -30 44 24 -35 17 49 -1 -36 -30 -31 18 2 5 -37 -28 45 -45 0 -22 20 44 47 14 -12 -13 42 -15 -24 46 43 20 32 36 -41 47 -32 24 -4 50 10 -19 17 -39 2 -4 -50 -3 -32 -34 -9 38 
-41 -13 -32 -3 -10 -41 -1 16 -46 -9 -48 2 43 -39 -2 28 2 10 27 -39 41 -41 40 -41 6 40 6 -10 -45 47 -23 31 50 -5 44 -10 -30 -8 22 41 -1 24 -8 -8 2 41 36 -47 -34 12 -36 24 21 -47 33 43 43 -46 -18 14 -50 -24 -6 16 -13 -12 22 8 30 -6 -36 -21 -33 7 -13 19 -37 39 22 -21 0 37 -48 37 6 35 30 -35 39 28 29 5 20 -27 38 -43 -23 9 -19 23 
-48 -5 18 37 18 -46 -29 31 43 44 -40 -42 -4 29 46 18 -20 -9 33 35 35 12 -44 5 1 44 -22 28 -32 9 0 38 20 -32 24 -12 39 45 -32 -2 4 45 -28 16 -10 -33 -16 20 -26 -34 4 -41 28 -24 -20 -22 -31 8 22 -46 33 -28 42 2 -44 -19 6 11 42 -9 -42 -4 -49 48 28 -9 31 -39 -40 -45 -22 -19 31 22 -27 -40 -50 -41 18 22 -37 -34 10 21 18 16 -49 41 -23 43 
-19 -49 -46 -18 49 33 -10 30 44 0 1 38 -3 -19 10 21 -9 10 30 25 48 9 41 8 -21 -26 40 -20 -36 33 39 -39 1 44 -40 -35 -8 0 11 -49 16 -39 40 30 -42 -1 0 -1 25 46 40 -12 4 30 46 -1 21 2 29 35 -50 -17 13 1 43 23 17 -16 39 -23 -48 4 -45 42 -17 -37 -44 -1 -21 -3 -40 -32 35 -20 15 -3 29 -15 49 -27 36 49 7 -2 0 -35 37 33 0 -9 
26 -32 12 -3 -41 45 11 32 -40 6 -22 37 -10 -38 34 -46 9 12 -45 7 2 42 -28 25 -45 -12 40 9 37 -45 50 12 -27 11 26 -18 -28 -48 -37 49 8 -43 1 14 -30 -16 -15 29 47 -10 -48 -36 48 41 39 20 45 28 -22 31 34 44 -42 23 5 34 -45 -7 36 35 -9 -7 9 42 -43 29 -24 -8 -27 39 -2 42 -48 -4 -2 7 -35 -8 -16 -41 -28 34 -48 -19 7 -27 -36 -22 16 -50 
29 23 -41 -13 -19 33 32 -27 -26 -45 28 -11 13 -4 35 -39 -48 16 3 -48 -9 26 37 -7 23 -41 -17 37 -47 15 3 32 -12 13 36 -15 -5 17 -26 -14 -12 -49 25 -49 -37 -25 29 -35 7 -19 -33 48 23 20 -44 -5 29 -45 49 32 21 1 -20 25 30 -35 -41 42 32 50 -23 37 -50 18 38 30 9 16 45 -35 13 28 29 -14 -2 1 -3 43 7 -39 -9 -23 13 -13 -49 -42 2 27 50 50 
26 43 2 -8 -24 -11 -29 35 21 32 16 -16 9 -6 -14 23 46 -1 -18 2 11 23 29 40 26 -4 48 -23 -28 14 43 14 6 -5 -45 33 0 43 -17 38 24 50 38 -18 -7 -27 22 -12 -12 -47 6 49 26 -50 38 1 -4 36 -6 18 -1 -48 -19 21 -37 -48 -31 -20 45 3 -33 -16 2 21 -17 11 44 -46 16 48 -43 -29 47 -1 -28 34 16 18 -15 -41 -48 0 28 50 38 8 -48 -44 38 13 
-25 21 48 27 -9 -20 -12 -50 -16 -47 48 -43 41 10 6 -38 -6 -29 -3 -5 47 -1 12 24 -2 -1 48 0 5 1 30 31 -29 27 -27 -22 23 -23 45 23 47 9 30 38 -32 -49 16 -22 -28 -38 24 -32 11 -15 8 -41 34 6 -25 -46 23 -46 1 45 -3 -9 39 36 18 34 8 -19 -42 -47 -32 -24 -46 34 5 43 13 45 -40 -27 46 -15 49 -5 7 -26 -1 -21 45 17 40 -8 -43 -5 -23 -9 
-22 2 22 -48 -29 6 -22 -24 -44 -1 -32 19 -7 46 8 -12 47 7 33 3 31 49 32 -9 15 -12 33 -12 33 27 29 27 45 -33 29 -35 23 -44 -43 -5 6 43 -37 15 4 22 -47 0 -22 2 -48 25 0 0 -35 31 38 15 -32 -14 -43 14 -38 -49 31 41 33 -31 14 41 15 36 33 -6 -34 -48 -35 36 2 -41 -12 4 0 4 20 16 -15 -26 47 -31 10 -47 -1 23 -46 -21 -21 37 -35 9 
-7 -4 -6 42 40 11 44 22 -4 -5 -3 0 15 48 -46 -49 -21 -45 -25 -25 41 35 -22 -10 -27 49 -15 -31 35 0 28 -22 12 39 36 2 -35 30 40 -23 41 -14 28 6 -17 -2 -27 12 -31 -2 37 -41 49 31 -1 -28 29 35 -9 -20 -50 35 -26 13 23 -41 31 38 39 20 -35 -4 22 9 18 -45 -44 41 -17 42 -12 37 -50 -14 17 -34 -26 -38 17 -19 -8 17 -34 16 46 39 25 -8 -7 -20 
-39 8 26 0 33 -7 5 5 -17 4 -4 -13 -44 -4 -11 -10 12 -20 2 -22 11 44 12 -7 -25 -27 -18 16 16 -9 46 -7 15 -13 43 -3 -4 -37 -49 -5 -16 -3 -2 -10 9 38 30 38 34 -19 -35 -6 41 -7 38 32 17 36 -2 49 43 -41 -9 7 -37 -16 -47 9 -37 -46 -46 -3 -33 2 38 -8 -45 17 -21 39 15 -39 50 -29 4 3 -47 37 -46 -33 35 47 -24 -24 3 -11 -24 6 15 -11 
-24 19 3 -41 37 -10 1 43 23 31 -3 -47 8 -4 -25 28 49 45 15 19 28 -35 15 -47 -43 -33 -41 -17 -11 -10 -11 15 -42 42 -10 11 48 42 -31 -14 -12 17 -10 12 29 -19 -11 -6 42 -47 -38 19 36 28 -12 43 11 -3 -24 -50 3 -19 -19 -23 39 22 39 2 -21 -43 38 -17 -10 44 45 36 41 -17 -21 32 -47 -9 0 39 35 39 31 -4 -49 23 -4 5 20 -7 32 -26 -36 -14 26 -41 
-40 -20 -42 0 40 -48 -15 31 -48 -20 12 22 22 -38 10 -28 17 -44 18 18 -4 30 39 32 -27 -13 -44 -13 23 -2 -37 33 28 -29 50 18 41 -16 -2 43 -19 26 14 19 4 40 41 -30 12 9 5 24 -12 -7 6 11 30 -22 15 3 26 -6 -49 -30 15 -50 4 5 -49 18 -37 -18 -7 -7 -50 48 49 41 34 11 -1 -12 -16 4 -2 6 31 -23 34 -39 -4 10 5 -2 -4 -30 -36 50 -9 -35 
